Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
structured address postal code|addr:postcode=user defined|||||||StructuredAddress#postalCode
structured address regions|addr:province=user defined|||||||StructuredAddress#regions
structured address room|addr:door=user defined|||||||StructuredAddress#room
structured address state|addr:state=user defined|||||||StructuredAddress#state
structured address state code|addr:state=user defined|||||||StructuredAddress#stateCode
structured address street|addr:street=user defined, addr:street:en=user defined|||||||StructuredAddress#street
structured address text|addr:block=user defined, addr:city=user defined, addr:city:en=user defined, addr:conscriptionnumber=user defined, addr:country=user defined, addr:district=user defined, addr:door=user defined, addr:flats=user defined, addr:floor=user defined, addr:full=user defined, addr:hamlet=user defined, addr:housename=user defined, addr:housenumber=user defined, addr:inclusion=actual, addr:inclusion=estimate, addr:inclusion=potential, addr:interpolation=all, addr:interpolation=even, addr:interpolation=odd, addr:interpolation=alphabetic, addr:interpolation=3, addr:place=user defined, addr:postcode=user defined, addr:province=user defined, addr:provisionalnumber=user defined, addr:state=user defined, addr:street=user defined, addr:street:en=user defined, addr:streetnumber=user defined, addr:subdistrict=user defined, addr:suburb=user defined, addr:unit=user defined, description=user defined|||||||StructuredAddress#text
subordinated way in a parking lot between rows of parking spaces that vehicles use to drive into and out of the spaces|service=parking_aisle|||||||WheelchairParking#count, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
subtype for a generic drinking water fountain|fountain=drinking|||||||AnimalPolicy#suppliesWaterForPets
sufficient space available for bench/couch in toilet|amenity=bench, amenity=toilets, building=toilets, couch=yes, room=benches, room=toilets, toilets=yes, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|bench/couch: sufficient space available (190 x 100 cm and in front of it 150 x 150 cm movement area)|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
"sufficiently large single room that is suitable for practising sports indoors and does not have a ""centre"" character"|leisure=sports_hall|||||||
sundial|display=sundial|||||||
surface made from synthetic materials to look and feel like natural grass|surface=artificial_turf|||||||
surface material of way to public transport|surface=acrylic, surface=artificial_turf, surface=asphalt, surface=carpet, surface=clay, surface=cobblestone, surface=cobblestone:flattend, surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=compacted, surface=dirt, surface=earth, surface=fine_gravel, surface=grass, surface=grass_paver, surface=gravel, surface=ground, surface=ice, surface=metal, surface=metal_grid, surface=mud, surface=paved, surface=paving_stones, surface=pebblestone, surface=rock, surface=salt, surface=sand, surface=sett, surface=snow, surface=tartan, surface=unhewn_cobblestone, surface=unpaved, surface=wood, surface=woodchips||Way to building|Way to public transport|surface material|||
surface of ramp is stable, firm and slip resistant|highway=access_ramp, ramp:wheelchair=yes, ramp=yes, rampDisability=yes|slip-resistant=floor, slip-resistant=yes, surface=firm, surface=slip-resistant, surface=stable|Change in Ground Height|Ramp|surface stable, firm and slip resistant |||
surface paved with blocks|surface=paving_stones|||||||
swimming-pool|room=swimming-pool|||||||
swinging door|door=hinged||Building characteristics|Doorways|type [3]|pivoting / swinging door||EquipmentProperties#door, EquipmentProperties#hasDoorsInBothDirections
swinging or sliding barrier that closes off rooms within a building|door=yes, door=hinged, door=sliding, indoor=door|||||||
switch to link a given power circuit to earth as for ensuring safety of maintenance operations|switch=earthing|||||||
synthetic, all-weather surface typically used in running|surface=tartan|||||||
table in lecturer zone can be driven under the table: Movement area in front of table (width/depth) in cm|amenity=table, height=user defined, length=user defined, room=lecture, width=user defined|clear_floor_space=yes, table=movable, table=not_movable, table=under_table|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|table can be driven under the table: Movement area in front of table (width/depth) in cm||
table in lecturer zone can be driven under the table: yes / no|amenity=table, room=lecture|table=movable, table=not_movable, table=under_table|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|table can be driven under the table: yes / no||
table with benches for food and rest|leisure=picnic_table|||||||
tactile and visible elevator exterior operating elements |button_operated=yes, button_operated=no, button_operated=only, button_operated=optional, button_operated=defect, button_operated=not_only, button_operated=sometimes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes|control=tactile, control=visible|Change Elevation|Elevator|exterior operating elements|tactile and visible||Media#isBraille
tactile ground indicators on way to public transport|building=transportation, information=trail_blaze, information=route_marker, public_transport=platform, public_transport=station, public_transport=stop_area, public_transport=stop_position, tactile_paving=contrasted, tactile_paving=incorrect, tactile_paving=primitive, tactile_paving=yes||Way to building|Way to public transport|ground indicators|tactile [2]||PlaceInfo#accessibility
tactile guidance system for persons with blindness|information=tactile_map, information=tactile_model, tactile_paving=contrasted, tactile_paving=incorrect, tactile_paving=no, tactile_paving=primitive, tactile_paving=yes, traffic_signals:floor_vibration=no, traffic_signals:floor_vibration=yes, traffic_signals:minimap=no, traffic_signals:minimap=yes||General help for orientation / Technical assistance|Guidance system|for persons with blindness [1]|tactile [1]||PlaceInfo#accessibility
tactile pavement to the entrance|tactile_paving=yes|tactile_paving=entrance|Way to building|Ground in front of entrance|tactile pavement to the entrance|||
tactile pavement to the entrance ending in a wall|tactile_paving=incorrect|tactile_paving=entrance, tactile_paving=wall|Way to building|Ground in front of entrance|tactile pavement to the entrance|wall||
tactile pavement to the entrance out of profile bricks|tactile_paving=yes|tactile_paving=entrance, tactile_paving=profile_bricks|Way to building|Ground in front of entrance|tactile pavement to the entrance|profile bricks||
tactile pavement to the entrance with curb|tactile_paving=yes|tactile_paving=curb, tactile_paving=entrance|Way to building|Ground in front of entrance|tactile pavement to the entrance|curb||
tactile pavement to the entrance with fence|tactile_paving=yes|tactile_paving=entrance, tactile_paving=fence|Way to building|Ground in front of entrance|tactile pavement to the entrance|fence||
tactile pavement to the entrance with handrail|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, tactile_paving=yes|tactile_paving=entrance, tactile_paving=handrail|Way to building|Ground in front of entrance|tactile pavement to the entrance|handrail||
tactile paving availability at escalators|conveying=backward, conveying=forward, conveying=reversible, conveying=yes, escalator=parallel, escalator=yes, tactile_paving=yes|tactile_paving=escalators|Change Elevation|Escalators|tactile paving availability [2]|||
tactile paving availability at stairs|highway=steps, room=stairs, stairs=yes, tactile_paving=yes|tactile_paving=stairs|Change Elevation|Stairs|tactile paving availability [1]|||
tactile paving availability on floor|tactile_paving=yes|tactile_paving=floor|Building characteristics|Floor (pathway)|material [1]|tactile paving availability||
tactile paving is used but not in a sensible way|tactile_paving=incorrect|||||||
tactile plan for persons with blindness|information=tactile_map, information=tactile_model|information=tactile_plan|General help for orientation / Technical assistance|Plan|for persons with blindness [2]|tactile [3]||
tactile signpost|information=guidepost, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes|guidepost=tactile, signpost=tactile|General help for orientation / Technical assistance|Signage|tactile signpost|||
tall locker where you can hang a coat|locker=wardrobe|||||||
tall, narrow, four-sided, tapered monument which usually ends in a pyramid-like shape at the top|man_made=obelisk|||||||
tea table|amenity=table, leisure=picnic_table|amenity=tea_table, leisure=tea_table, table=tea|Movables|Furniture|type: table|tea table||
teacher's desk|room=class, room=lecture|teaches_desk=no, teachers_desk=yes|Movables|Furniture|type: table|teacher's desk||
teaching room|room=class, room=lecture|room=teaching|General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|teaching room||PlaceInfo#category, StructuredAddress#room
technology control height|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, height=user defined|control:height=user defined|General help for orientation / Technical assistance|Technology|controls|height [9]||EquipmentProperties#heightOfControls
telephone number is 02084517891|phone=02084517891|||||||EquipmentProperties#servicePhoneNumber, PlaceInfo#phoneNumber
teletypewriter number|contact:tty=+44 11223 456-789|||||||
television|amenity=television||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|television||
temporary barriers|barrier=debris, barrier=yes|barrier=temporary|General building information|Formal information|temporary barriers|||
temporary ramp|highway=access_ramp, ramp=separate, ramp=yes|ramp=temporary|Change in Ground Height|Ramp|type [14]|temporary||Entrance#hasRemovableRamp
terrace|room=terrace|||||||
terrarium|room=terrarium|||||||
text colour is black|text:colour=black|||||||StructuredAddress#text
text colour is black and blue|text:colour=black;blue|||||||StructuredAddress#text
